method,n_predictions,phq_mae,phq_rmse,phq_bias_pred_minus_true,label2_acc,label2_balanced_acc,label2_f1,label3_acc,label3_balanced_acc,label3_macro_f1,mean_pred_phq9,phq_mae_fold_mean,phq_mae_fold_std,phq_rmse_fold_mean,phq_rmse_fold_std,label2_acc_fold_mean,label2_acc_fold_std,label2_f1_fold_mean,label2_f1_fold_std,label3_acc_fold_mean,label3_acc_fold_std,label3_macro_f1_fold_mean,label3_macro_f1_fold_std
strong_prior_raw_sum_v4,880,0.9659090909090909,1.210747327442473,0.17045454545454544,0.875,0.8746770025839793,0.8705882352941177,0.8409090909090909,0.8255892255892255,0.8363683100525204,4.988636363636363,0.96640522875817,0.15820206544272838,1.2024635890850994,0.14550399248063312,0.8748366013071894,0.0499783962792277,0.8685995626320703,0.05436010649827531,0.8407189542483658,0.06104475622414179,0.8307753724889949,0.0847232401807352
strong_prior_v4_isotonic,880,1.0773039145198235,1.3292136947050577,-0.0305268216631853,0.8545454545454545,0.8537467700258398,0.8461538461538461,0.8022727272727272,0.761043771043771,0.7798807481058381,4.787654996518634,1.0779804817549916,0.15119660331305543,1.3163720079083074,0.19325410570629137,0.8542483660130717,0.07050877608977234,0.8384641751437415,0.09342722261981277,0.8020915032679737,0.08098301409406702,0.7583976591004457,0.13392569594202147
strong_prior_raw_sum_v3,880,2.5568181818181817,3.266566170377472,-0.3522727272727273,0.625,0.6229974160206718,0.5822784810126582,0.5340909090909091,0.435016835016835,0.4538085053548971,4.465909090909091,2.5549673202614382,0.4432471033241498,3.2317629467975433,0.46979857928971,0.6255555555555556,0.10953477386109071,0.5777968752953273,0.12990055011980567,0.5345751633986928,0.11009842632938448,0.4293609269986979,0.145120314102991
strong_prior_v3_isotonic,880,2.5904806040942048,3.332544669119521,-0.00797185128909918,0.6034090909090909,0.6006976744186047,0.5425950196592398,0.49318181818181817,0.37434343434343437,0.3716257952601767,4.810209966892719,2.5899729129081925,0.41032455766632686,3.2944877513435333,0.5080068421965024,0.6040522875816995,0.1254895708267737,0.5319121956474897,0.17721853406580843,0.4937908496732026,0.10926813472117053,0.3479010041622776,0.10942127472659972
non_asr_ridge_reference,880,2.655961945178688,3.4004108170720446,0.03715587209964018,0.6079545454545454,0.6070025839793282,0.5848375451263538,0.5261363636363636,0.40528619528619525,0.40378897814168146,4.855337690281458,2.658080522157318,0.4127689777262391,3.3535538093020154,0.5854677138994998,0.6080392156862746,0.1047759052677197,0.5754057112478165,0.13508025819235597,0.5260784313725491,0.1061401054034927,0.3878585946332076,0.11567300240369506
strong_prior_router_hybrid,880,2.6644494684190705,3.4259386734993114,0.012907448323466332,0.571590909090909,0.5689147286821705,0.5071895424836601,0.5022727272727273,0.3632323232323232,0.34036850921273026,4.831089266505284,2.6660041487527466,0.38077206509393563,3.3863895040084167,0.5429191719094157,0.5718300653594772,0.08304872058424723,0.4975589762834345,0.11826615461405203,0.5026143790849674,0.0857816935898191,0.33658200825861334,0.06157771150032849
strong_prior_adaptive_isotonic,880,2.6953867777417195,3.5277639698748677,0.0003664775678901323,0.48863636363636365,0.4814470284237726,0.23986486486486486,0.47613636363636364,0.372996632996633,0.37093588193790783,4.818548295749708,2.6957400485389154,0.49555445606064563,3.472723976157143,0.6355088859634797,0.4893464052287582,0.09666190512262576,0.2159382382323559,0.1507206975222872,0.4768627450980392,0.11002862289801399,0.3354317082781613,0.13546205540747402
strong_prior_raw_sum_broad,880,2.7386363636363638,3.8331686394133273,-0.7386363636363636,0.5795454545454546,0.5749354005167959,0.463768115942029,0.5454545454545454,0.43703703703703706,0.4515850193420287,4.079545454545454,2.736143790849673,0.5559402076806876,3.745225876147491,0.8211486954910577,0.580326797385621,0.11169430468049665,0.4511963036963037,0.1756760710633115,0.5460784313725491,0.10571163267372831,0.4286037360624249,0.1457014750873915
strong_prior_region_affine,880,2.7395537113278774,3.498260645870435,-0.04786450585272069,0.5409090909090909,0.5341602067183463,0.3355263157894737,0.5011363636363636,0.34471380471380475,0.3043616943715369,4.770317312329097,2.740995010040836,0.3672420105414699,3.4628458129599027,0.5201987737607796,0.5412418300653595,0.06800017574609347,0.32536210847975544,0.11244983901769375,0.5016339869281047,0.0745336985384436,0.3011125974796455,0.05743703538430289
strong_prior_broad_isotonic,880,2.754487309102396,3.6668596860201914,-0.012449482777114797,0.5295454545454545,0.5229457364341086,0.3257328990228013,0.4954545454545455,0.35111111111111115,0.32430629803129113,4.805732335404704,2.755003368597354,0.4330141554548457,3.603683156822854,0.6953144019953755,0.5302614379084968,0.09051373812689976,0.2912584670231729,0.20623864438858547,0.4960784313725491,0.07675728819631975,0.3014984037285558,0.08369556056648969
strong_prior_raw_sum_adaptive,880,3.090909090909091,4.131365611778001,-1.8863636363636365,0.5340909090909091,0.5268733850129199,0.3050847457627119,0.5113636363636364,0.39865319865319865,0.39855731345093043,2.9318181818181817,3.088496732026144,0.5262089640227889,4.064616157340204,0.7427162228247947,0.5348366013071896,0.08975882962472022,0.29376445776445775,0.16442808745666473,0.512091503267974,0.08457716623691623,0.3728188738797435,0.13543814873321056
strong_prior_raw_sum,880,3.1818181818181817,4.30380381438644,-2.25,0.5227272727272727,0.5147286821705427,0.25,0.5,0.36262626262626263,0.3365319865319865,2.5681818181818183,3.179803921568627,0.5361125863512152,4.23442774789621,0.7782821061060682,0.5235294117647059,0.08933139625812282,0.24002375402375403,0.1634386439839937,0.5007189542483661,0.08719864410021773,0.31684466966206093,0.1200733366848552
