subset,n_features,direct_ridge_binacc,direct_ridge_terf1,logistic_binacc,logistic_binf1,residual_binacc,residual_terf1
AU_intensity_stats,255,0.5454545454545454,0.3055555555555555,0.5909090909090909,0.5900621118012422,0.5909090909090909,0.40692007797270957
AU_presence_stats,108,0.6363636363636364,0.47368421052631576,0.5,0.4905263157894737,0.5454545454545454,0.3952380952380952
AU_all_stats,363,0.6818181818181818,0.6746031746031745,0.5454545454545454,0.5454545454545454,0.7272727272727273,0.65
Gaze_only,36,0.5909090909090909,0.35976129582267696,0.5,0.4989648033126294,0.8181818181818182,0.5505050505050505
AU_plus_Gaze,399,0.7272727272727273,0.446218487394958,0.5454545454545454,0.5454545454545454,0.7272727272727273,0.580672268907563
Per_event,399,0.7272727272727273,0.446218487394958,0.5454545454545454,0.5454545454545454,0.7272727272727273,0.580672268907563
Dynamic_range,80,0.6363636363636364,0.3666666666666667,0.5,0.4905263157894737,0.7727272727272727,0.3904991948470209
All_features,479,0.6818181818181818,0.4619883040935672,0.5454545454545454,0.5454545454545454,0.7272727272727273,0.525
AU_intensity_mean_only,51,0.5454545454545454,0.4179292929292929,0.5,0.4989648033126294,0.5909090909090909,0.4719576719576719
AU_intensity_std_only,51,0.5,0.5430856553147575,0.45454545454545453,0.45,0.5909090909090909,0.5823013415892673
