au,stat,r,abs_r
AU04,mean,-0.23628761947970864,0.23628761947970864
AU07,std,0.22056140584040412,0.22056140584040412
AU14,std,0.2034584566300625,0.2034584566300625
AU12,std,0.1696274407107651,0.1696274407107651
AU12,mean,0.14124260993331655,0.14124260993331655
